YEAR,Location,PD,Variety,id,PDOY,Dens,Yield,rMG1,rMG,ED,R1,R5,R7,ED_R1_Tmax,R1_R5_Tmax,R1_R7_Tmax,R5_R7_Tmax,ED_R1_Tmin,R1_R5_Tmin,R5_R7_Tmin,ED_R1_Srad,R1_R5_Srad,R5_R7_Srad,ED_R1_Phot,R1_R5_Phot,R5_R7_Phot,CIPAR_E_R1,CIPAR_R1_R5,CIPAR_R5_R7,Oil,Protein,MAX_Tmax_ED_R1,MIN_Tmax_ED_R1,SD_Tmax_ED_R1,MAX_Tmin_ED_R1,MIN_Tmin_ED_R1,SD_Tmin_ED_R1,MAX_Srad_ED_R1,MIN_Srad_ED_R1,SD_Srad_ED_R1,MAX_Phot_ED_R1,MIN_Phot_ED_R1,SD_Phot_ED_R1,MAX_Tmax_R1_R5,MIN_Tmax_R1_R5,SD_Tmax_R1_R5,MAX_Tmin_R1_R5,MIN_Tmin_R1_R5,SD_Tmin_R1_R5,MAX_Srad_R1_R5,MIN_Srad_R1_R5,SD_Srad_R1_R5,MAX_Phot_R1_R5,MIN_Phot_R1_R5,SD_Phot_R1_R5,MAX_Tmax_R5_R7,MIN_Tmax_R5_R7,SD_Tmax_R5_R7,MAX_Tmin_R5_R7,MIN_Tmin_R5_R7,SD_Tmin_R5_R7,MAX_Srad_R5_R7,MIN_Srad_R5_R7,SD_Srad_R5_R7,MAX_Phot_R5_R7,MIN_Phot_R5_R7,SD_Phot_R5_R7
2013,C St,2,5N342R2,C St_2013_2_3_5N342R2,116,22.96412948,2262.878982,3,3.4,130,148,184,216,31.08,35.72,36.29,36.93,19.26,21.93,22.77,19.71,23.17,21.97,14.66,15,14.74,9.5,301.66,349.44,20.4,33.2,38.4,29,2.322229217,25.3,21.3,1.010992217,25.6,16.3,2.282196541,14.93713344,14.60466826,0.104545315,40.2,32.4,1.941842102,26,20.6,1.182663813,26.2,19,1.71391146,14.60466826,13.56332426,0.315745839,39.4,22.5,4.421403263,24,12.4,3.512577509,24.7,9.9,3.695274931,13.56332426,12.53810102,0.310698925
2013,C St,2,5N342R2,C St_2013_2_3_5N342R2,116,25.83464567,2720.083386,3,3.4,130,148,184,216,31.08,35.72,36.29,36.93,19.26,21.93,22.77,19.71,23.17,21.97,14.66,15,14.74,9.5,301.66,349.44,20.4,31.9,38.4,29,2.322229217,25.3,21.3,1.010992217,25.6,16.3,2.282196541,14.93713344,14.60466826,0.104545315,40.2,32.4,1.941842102,26,20.6,1.182663813,26.2,19,1.71391146,14.60466826,13.56332426,0.315745839,39.4,22.5,4.421403263,24,12.4,3.512577509,24.7,9.9,3.695274931,13.56332426,12.53810102,0.310698925
2013,C St,2,5N342R2,C St_2013_2_3_5N342R2,116,22.96412948,2005.914106,3,3.4,130,148,184,216,31.08,35.72,36.29,36.93,19.26,21.93,22.77,19.71,23.17,21.97,14.66,15,14.74,9.5,301.66,349.44,19.7,33.9,38.4,29,2.322229217,25.3,21.3,1.010992217,25.6,16.3,2.282196541,14.93713344,14.60466826,0.104545315,40.2,32.4,1.941842102,26,20.6,1.182663813,26.2,19,1.71391146,14.60466826,13.56332426,0.315745839,39.4,22.5,4.421403263,24,12.4,3.512577509,24.7,9.9,3.695274931,13.56332426,12.53810102,0.310698925
2013,C St,2,5N342R2,C St_2013_2_3_5N342R2,116,35.40303295,2573.669994,3,3.4,130,148,184,216,31.08,35.72,36.29,36.93,19.26,21.93,22.77,19.71,23.17,21.97,14.66,15,14.74,9.5,301.66,349.44,20.6,34,38.4,29,2.322229217,25.3,21.3,1.010992217,25.6,16.3,2.282196541,14.93713344,14.60466826,0.104545315,40.2,32.4,1.941842102,26,20.6,1.182663813,26.2,19,1.71391146,14.60466826,13.56332426,0.315745839,39.4,22.5,4.421403263,24,12.4,3.512577509,24.7,9.9,3.695274931,13.56332426,12.53810102,0.310698925
2013,C St,3,5N342R2,C St_2013_3_3_5N342R2,133,29.55183052,2535.51421,3,3.4,140,158,194,221,33.13,36.85,36.98,37.15,21.38,21.85,23.67,20.03,24.02,21.35,14.85,15.01,14.59,15.07,331.38,287.2,21,31.8,39.8,33.6,1.703693957,25.3,21.6,0.961419516,26.2,19.4,1.713824082,14.77526665,14.35072737,0.1331982,40.2,30.8,2.2600194,26,13.5,2.062022536,25.9,19,1.629486184,14.35072737,13.23979519,0.336111957,36.7,22.5,3.9482968,22.3,12.4,2.912852381,24.7,9.9,3.86439965,13.23979519,12.3853876,0.260820316
2013,C St,3,5N342R2,C St_2013_3_3_5N342R2,133,42.99069037,2498.600754,3,3.4,140,158,194,221,33.13,36.85,36.98,37.15,21.38,21.85,23.67,20.03,24.02,21.35,14.85,15.01,14.59,15.07,331.38,287.2,19.9,34.6,39.8,33.6,1.703693957,25.3,21.6,0.961419516,26.2,19.4,1.713824082,14.77526665,14.35072737,0.1331982,40.2,30.8,2.2600194,26,13.5,2.062022536,25.9,19,1.629486184,14.35072737,13.23979519,0.336111957,36.7,22.5,3.9482968,22.3,12.4,2.912852381,24.7,9.9,3.86439965,13.23979519,12.3853876,0.260820316
2013,C St,3,5N342R2,C St_2013_3_3_5N342R2,133,26.74020941,2987.864037,3,3.4,140,158,194,221,33.13,36.85,36.98,37.15,21.38,21.85,23.67,20.03,24.02,21.35,14.85,15.01,14.59,15.07,331.38,287.2,21.3,31.6,39.8,33.6,1.703693957,25.3,21.6,0.961419516,26.2,19.4,1.713824082,14.77526665,14.35072737,0.1331982,40.2,30.8,2.2600194,26,13.5,2.062022536,25.9,19,1.629486184,14.35072737,13.23979519,0.336111957,36.7,22.5,3.9482968,22.3,12.4,2.912852381,24.7,9.9,3.86439965,13.23979519,12.3853876,0.260820316
2013,C St,3,5N342R2,C St_2013_3_3_5N342R2,133,31.52650627,2604.624461,3,3.4,140,158,194,221,33.13,36.85,36.98,37.15,21.38,21.85,23.67,20.03,24.02,21.35,14.85,15.01,14.59,15.07,331.38,287.2,20.9,31.1,39.8,33.6,1.703693957,25.3,21.6,0.961419516,26.2,19.4,1.713824082,14.77526665,14.35072737,0.1331982,40.2,30.8,2.2600194,26,13.5,2.062022536,25.9,19,1.629486184,14.35072737,13.23979519,0.336111957,36.7,22.5,3.9482968,22.3,12.4,2.912852381,24.7,9.9,3.86439965,13.23979519,12.3853876,0.260820316
2013,C St,4,5N342R2,C St_2013_4_3_5N342R2,150,23.65591398,1860.363806,3,3.4,160,179,203,233,36.75,36.65,37.38,37.97,22.87,21.62,23.48,23.75,21.85,22.22,15.04,14.9,14.32,24.91,199.04,326.94,18.5,36.5,40.2,32.4,2.33834737,26,20.6,1.498630954,25.9,19,1.754092958,14.29555226,13.72309153,0.178592789,39.4,25.4,4.039665828,24,13.5,3.118626835,24.7,11.8,3.168632723,13.72309153,12.94883311,0.237858462,36.7,17,4.931175785,22.3,9.9,3.057196692,24.1,9.9,3.487834464,12.94883311,12.03658067,0.277225337
2013,C St,4,5N342R2,C St_2013_4_3_5N342R2,150,31.5483871,2186.385184,3,3.4,160,179,203,233,36.75,36.65,37.38,37.97,22.87,21.62,23.48,23.75,21.85,22.22,15.04,14.9,14.32,24.91,199.04,326.94,20,32.6,40.2,32.4,2.33834737,26,20.6,1.498630954,25.9,19,1.754092958,14.29555226,13.72309153,0.178592789,39.4,25.4,4.039665828,24,13.5,3.118626835,24.7,11.8,3.168632723,13.72309153,12.94883311,0.237858462,36.7,17,4.931175785,22.3,9.9,3.057196692,24.1,9.9,3.487834464,12.94883311,12.03658067,0.277225337
